Datum,Tag,Zeit,Leistung_Total,Leistung_NCS,Leistung_HPC,Leistung_MCS,Ladestrategie,Netzanschluss,Ladequote
2024-01-08T07:10:00,1,430,759.7690241041915,568.3598852670713,191.4091388371203,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T07:15:00,1,435,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T07:20:00,1,440,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T07:25:00,1,445,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T07:30:00,1,450,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T07:35:00,1,455,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T07:40:00,1,460,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T07:45:00,1,465,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T07:50:00,1,470,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T07:55:00,1,475,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T08:00:00,1,480,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T08:05:00,1,485,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T08:10:00,1,490,810.7991702933671,568.3598852670713,242.4392850262958,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T08:15:00,1,495,810.7991702933671,568.3598852670713,242.4392850262958,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T08:20:00,1,500,810.7991702933671,568.3598852670713,242.4392850262958,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T08:25:00,1,505,810.7991702933671,568.3598852670713,242.4392850262958,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T08:30:00,1,510,810.7991702933671,568.3598852670713,242.4392850262958,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T08:35:00,1,515,810.7991702933671,568.3598852670713,242.4392850262958,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T08:40:00,1,520,810.7991702933671,568.3598852670713,242.4392850262958,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T08:45:00,1,525,810.7991702933671,568.3598852670713,242.4392850262958,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T08:50:00,1,530,925.8638122737166,568.3598852670713,357.50392700664526,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T08:55:00,1,535,683.4245272474208,568.3598852670713,115.06464198034946,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T09:00:00,1,540,721.4636050939502,568.3598852670711,153.10371982687894,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T09:05:00,1,545,721.4636050939502,568.3598852670711,153.10371982687894,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T09:10:00,1,550,721.4636050939502,568.3598852670711,153.10371982687894,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T09:15:00,1,555,721.4636050939502,568.3598852670711,153.10371982687894,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T09:20:00,1,560,970.6008061313044,568.3598852670711,402.24092086423315,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T09:25:00,1,565,970.6008061313044,568.3598852670711,402.24092086423315,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T09:30:00,1,570,970.6008061313044,568.3598852670711,402.24092086423315,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T09:35:00,1,575,871.7792464544592,490.37202969129044,381.4072167631688,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T09:40:00,1,580,1479.941877476616,490.37202969129044,989.5698477853255,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T09:45:00,1,585,1441.9027996300865,490.37202969129044,951.530769938796,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T09:50:00,1,590,1441.9027996300865,490.37202969129044,951.530769938796,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T09:55:00,1,595,1662.2003299895696,490.37202969129044,1171.8283002982794,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T10:00:00,1,600,1662.2003299895696,490.37202969129044,1171.8283002982794,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T10:05:00,1,605,1870.97804716704,490.37202969129044,1021.9269240825938,358.67909339315537,Konstant,5900.0,0.9784172661870504
2024-01-08T10:10:00,1,610,2414.371041344082,327.13588540492094,1728.5560625460062,358.67909339315537,Konstant,5900.0,0.9784172661870504
2024-01-08T10:15:00,1,615,2414.371041344082,327.13588540492094,1728.5560625460062,358.67909339315537,Konstant,5900.0,0.9784172661870504
2024-01-08T10:20:00,1,620,3602.43463458898,327.13588540492094,2916.6196557909034,358.67909339315537,Konstant,5900.0,0.9784172661870504
2024-01-08T10:25:00,1,625,4164.696395413616,327.13588540492094,2901.3865505213166,936.1739594873779,Konstant,5900.0,0.9784172661870504
2024-01-08T10:30:00,1,630,5034.944078011444,250.14693849714638,3848.6231800269184,936.1739594873779,Konstant,5900.0,0.9784172661870504
2024-01-08T10:35:00,1,635,5839.800568951069,250.14693849714638,4256.240384765861,1333.4132456880602,Konstant,5900.0,0.9784172661870504
2024-01-08T10:40:00,1,640,5683.228625776555,178.79859933424996,4171.016780754245,1333.4132456880602,Konstant,5900.0,0.9784172661870504
2024-01-08T10:45:00,1,645,5900.000000000001,78.79859933424997,3835.0392780518036,1986.1621226139473,Konstant,5900.0,0.9784172661870504
2024-01-08T10:50:00,1,650,5899.999999999998,78.79859933424997,3903.8177072012068,1917.383693464542,Konstant,5900.0,0.9784172661870504
2024-01-08T10:55:00,1,655,5899.999999999998,78.79859933424997,3752.2209126515654,2068.980488014184,Konstant,5900.0,0.9784172661870504
2024-01-08T11:00:00,1,660,5899.999999999999,0.0,3929.8482624291332,1970.1517375708675,Konstant,5900.0,0.9784172661870504
2024-01-08T11:05:00,1,665,5899.999999999999,0.0,3929.848262429133,1970.151737570867,Konstant,5900.0,0.9784172661870504
2024-01-08T11:10:00,1,670,5900.000000000001,0.0,3734.6238196347585,2165.3761803652433,Konstant,5900.0,0.9784172661870504
2024-01-08T11:15:00,1,675,5899.999999999999,0.0,3734.623819634757,2165.3761803652433,Konstant,5900.0,0.9784172661870504
2024-01-08T11:20:00,1,680,5900.0,0.0,4033.0343553921234,1866.9656446078773,Konstant,5900.0,0.9784172661870504
2024-01-08T11:25:00,1,685,5899.999999999999,0.0,4033.0343553921225,1866.9656446078773,Konstant,5900.0,0.9784172661870504
2024-01-08T11:30:00,1,690,4803.5048109457375,81.11932207431461,3599.427948961125,1122.9575399102987,Konstant,5900.0,0.9784172661870504
2024-01-08T11:35:00,1,695,4185.329669384179,81.11932207431461,3350.1179902508798,754.0923570589853,Konstant,5900.0,0.9784172661870504
2024-01-08T11:40:00,1,700,3088.82159510253,81.11932207431461,2614.6530473513794,393.049225676836,Konstant,5900.0,0.9784172661870504
2024-01-08T11:45:00,1,705,1643.7726147653182,81.11932207431461,1169.6040670141674,393.049225676836,Konstant,5900.0,0.9784172661870504
2024-01-08T11:50:00,1,710,1132.676238311351,81.11932207431461,658.5076905602003,393.049225676836,Konstant,5900.0,0.9784172661870504
2024-01-08T11:55:00,1,715,1696.898881154788,81.11932207431461,1236.7735720616088,379.0059870188646,Konstant,5900.0,0.9784172661870504
2024-01-08T12:00:00,1,720,1942.435832736975,81.11932207431461,1482.310523643796,379.0059870188646,Konstant,5900.0,0.9784172661870504
2024-01-08T12:05:00,1,725,2251.8645319075113,81.11932207431461,1791.7392228143317,379.0059870188646,Konstant,5900.0,0.9784172661870504
2024-01-08T12:10:00,1,730,2568.135297034122,81.11932207431461,2108.009987940942,379.0059870188646,Konstant,5900.0,0.9784172661870504
2024-01-08T12:15:00,1,735,2710.1025615382873,0.0,2331.0965745194226,379.0059870188646,Konstant,5900.0,0.9784172661870504
2024-01-08T12:20:00,1,740,3175.4165602478606,0.0,2796.410573228996,379.0059870188646,Konstant,5900.0,0.9784172661870504
2024-01-08T12:25:00,1,745,3476.242900717938,0.0,3097.2369136990733,379.0059870188646,Konstant,5900.0,0.9784172661870504
2024-01-08T12:30:00,1,750,3821.5719630447156,0.0,3442.565976025851,379.0059870188646,Konstant,5900.0,0.9784172661870504
2024-01-08T12:35:00,1,755,3752.8712897402356,0.0,3373.865302721371,379.0059870188646,Konstant,5900.0,0.9784172661870504
2024-01-08T12:40:00,1,760,3071.9634015345287,0.0,3071.9634015345287,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T12:45:00,1,765,3118.242937820631,0.0,3118.242937820631,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T12:50:00,1,770,2849.9693142509805,0.0,2849.9693142509805,0.0,Konstant,5900.0,0.9784172661870504
